,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
226,50005228,5.4,,,,4.75,3.4,6.5,8.0,8.25
227,50005229,3.2,,,,4.5,,5.75,5.0,
228,50005230,6.4,4.5,2.75,3.75,6.5,3.6,,,
229,50005231,6.0,5.25,3.75,3.0,4.5,4.2,,,
230,50005232,5.2,,,,5.75,6.0,5.5,8.0,7.25
231,50005233,3.4,,,,4.25,,4.5,4.75,
232,50005234,6.8,,,,7.0,4.6,7.5,8.0,8.75
233,50005235,4.2,2.0,5.5,4.5,5.25,3.0,,,
234,50005236,3.4,,,,2.5,,3.5,4.25,
235,50005237,4.6,,,,6.0,4.2,8.75,7.25,8.25
236,50005238,4.8,4.25,5.0,3.75,6.75,7.8,,,
237,50005239,6.0,,,,4.75,,7.75,8.0,
238,50005240,4.6,,,,4.25,3.8,6.0,7.75,8.25
239,50005241,4.6,,,,5.0,,5.5,6.25,
240,50005242,5.4,3.5,4.0,3.5,5.25,4.6,,,
241,50005243,7.0,,,,6.25,4.0,6.25,7.25,8.5
242,50005244,6.0,5.25,5.0,4.5,6.5,4.0,,,
243,50005245,4.2,,,,7.25,4.4,8.5,7.0,8.75
244,50005246,7.6,6.25,7.0,5.25,6.0,3.4,,,
245,50005247,7.2,,,,6.75,,7.0,6.5,
246,50005248,6.4,,,,6.0,4.6,7.25,6.5,8.5
247,50005249,5.2,5.0,6.0,3.0,5.0,2.2,,,
248,50005250,6.4,5.75,4.0,5.5,5.75,3.0,,,
249,50005251,6.6,6.5,7.25,4.75,7.5,5.6,,,
250,50005252,2.8,,,,2.75,,7.0,6.75,
251,50005253,4.2,4.25,4.0,4.25,6.25,5.2,,,
252,50005254,7.2,7.5,5.75,5.0,7.42,7.2,,,
253,50005255,7.0,,,,6.5,6.2,7.75,7.0,9.5
254,50005256,7.2,,,,7.75,7.6,8.25,8.5,9.5
255,50005257,6.8,,,,7.5,6.2,6.25,7.75,7.75
256,50005258,7.4,5.25,6.5,4.0,5.0,7.0,,,
257,50005259,5.4,5.0,5.75,4.75,6.75,4.0,,,
258,50005260,5.2,,,,6.0,2.8,3.25,6.75,6.25
259,50005261,5.2,,,,5.0,3.0,6.25,7.0,9.0
260,50005262,8.0,6.0,7.25,5.75,7.25,5.2,,,
261,50005263,3.4,,,,3.58,,3.0,5.75,
262,50005264,6.8,6.25,4.25,4.5,6.5,4.6,,,
263,50005265,4.2,,,,4.0,,7.25,6.5,
264,50005266,8.0,3.75,6.0,6.0,5.0,3.2,,,
265,50005267,6.0,5.75,5.5,2.5,6.25,4.4,,,
266,50005268,6.8,,,,7.75,5.8,7.0,6.0,8.75
267,50005269,6.0,,,,4.0,3.0,5.0,7.25,8.75
268,50005270,2.8,,,,3.5,,1.75,4.75,
269,50005271,5.8,,,,5.75,,3.25,5.5,
270,50005272,8.4,7.0,8.25,5.75,8.25,7.0,,,
271,50005273,6.4,5.5,5.75,4.0,7.0,5.4,,,
272,50005274,7.0,6.25,7.25,3.75,7.25,6.4,,,
273,50005275,5.8,,,,5.08,,6.25,6.5,
274,50005276,7.0,4.5,5.75,3.5,6.5,4.2,,,
275,50005277,4.8,,,,6.0,4.2,6.0,6.75,7.5
276,50005278,5.0,4.0,3.25,4.75,6.0,3.6,,,
277,50005279,7.6,,,,6.0,4.4,7.25,7.0,8.5
278,50005280,7.4,,,,6.5,4.8,7.0,7.0,9.25
279,50005281,5.0,,,,4.5,3.0,6.75,5.25,7.75
280,50005282,5.4,,,,8.0,4.8,6.25,7.5,9.0
281,50005283,4.4,4.5,6.25,5.0,5.25,3.6,,,
282,50005284,5.8,3.75,5.0,3.75,7.5,5.2,,,
283,50005285,5.6,4.0,6.0,3.25,7.0,2.0,,,
284,50005286,6.4,4.75,5.0,3.5,6.0,5.0,,,
285,50005287,3.4,,,,3.75,,3.0,5.75,
286,50005288,5.2,,,,5.0,,5.25,6.75,
287,50005289,6.0,5.0,7.0,3.75,7.0,5.4,,,
288,50005290,5.6,,,,7.0,2.8,7.0,7.25,7.75
289,50005291,7.0,4.5,4.25,3.25,6.25,3.8,,,
290,50005292,7.6,6.75,6.0,5.0,7.75,7.2,,,
291,50005293,6.0,5.5,4.25,3.25,6.5,3.8,,,
292,50005294,7.4,7.0,6.75,4.75,6.5,6.2,,,
293,50005295,6.4,,,,5.5,,6.0,6.75,
294,50005296,2.0,,,,4.0,,6.25,4.0,
295,50005297,5.8,6.0,4.0,3.0,5.5,4.0,,,
296,50005298,3.8,,,,5.0,3.8,5.5,6.5,7.25
297,50005299,6.2,,,,6.5,2.6,6.5,6.25,8.0
298,50005300,6.8,7.5,7.75,5.75,7.0,4.4,,,
299,50005301,6.4,4.5,4.25,3.25,5.25,3.4,,,
300,50005302,6.4,,,,5.75,2.8,7.75,8.25,9.25
301,50005303,7.2,6.5,5.25,3.0,6.25,5.4,,,
302,50005304,6.8,5.75,6.5,4.5,5.75,5.4,,,
303,50005305,5.0,,,,7.0,3.2,5.75,5.25,7.75
304,50005306,6.8,5.25,6.25,2.5,5.75,6.4,,,
305,50005307,5.8,5.25,7.0,3.5,6.0,4.4,,,
306,50005308,3.4,,,,5.25,2.8,5.75,6.75,8.0
307,50005309,5.8,,,,6.25,2.0,6.0,6.75,8.5
308,50005310,4.4,,,,8.25,5.0,6.25,6.0,9.75
309,50005311,6.4,4.75,6.0,2.5,7.75,5.2,,,
310,50005312,4.8,4.5,4.0,4.0,6.25,3.2,,,
311,50005313,4.6,,,,7.0,3.2,7.75,5.75,9.25
312,50005314,2.4,,,,6.0,4.6,5.5,6.5,8.0
313,50005315,7.0,7.25,5.0,4.25,7.25,5.2,,,
