,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
877,50005883,7.4,,,,7.0,5.6,8.25,7.5,8.5
878,50005884,6.6,5.75,3.25,4.5,6.75,4.2,,,
879,50005885,8.4,7.5,7.75,5.0,7.0,4.6,,,
880,50005886,8.2,6.0,8.25,8.5,7.0,5.8,,,
881,50005887,5.6,,,,5.75,,5.25,6.5,
882,50005888,4.8,,,,7.0,4.0,4.75,7.0,8.25
883,50005889,5.2,,,,8.25,3.0,7.25,6.5,8.75
884,50005890,3.0,,,,6.25,,3.5,6.25,
885,50005891,5.6,,,,7.5,4.0,5.25,5.75,9.5
886,50005892,8.8,8.75,7.5,7.0,8.75,8.2,,,
887,50005893,9.2,8.5,8.0,5.0,8.0,5.6,,,
888,50005894,8.2,7.75,8.0,6.0,6.75,4.4,,,
889,50005895,3.2,,,,3.0,,6.75,7.0,
890,50005896,6.2,,,,5.0,4.8,8.5,7.25,9.25
891,50005897,4.6,,,,3.0,,4.75,5.5,
892,50005898,6.6,,,,6.5,4.2,7.0,6.25,8.5
893,50005899,3.6,,,,2.75,,4.5,5.0,
894,50005900,5.2,,,,4.5,,3.0,6.5,
895,50005901,7.6,4.75,4.25,3.75,5.17,6.2,,,
896,50005902,7.8,6.0,8.0,4.75,7.75,5.2,,,
897,50005903,5.4,,,,5.0,,8.25,7.0,
898,50005904,7.4,6.0,6.25,5.0,5.0,4.0,,,
899,50005905,4.8,6.0,6.0,5.75,5.5,4.6,,,
900,50005906,6.4,,,,6.25,,6.5,7.25,
901,50005907,5.6,,,,4.5,,7.0,7.5,
902,50005908,7.0,,,,6.5,3.6,8.0,7.0,9.25
903,50005909,6.8,6.0,6.0,5.75,5.83,3.6,,,
904,50005910,6.4,,,,5.5,,8.25,6.75,
905,50005911,5.6,,,,5.5,,4.0,5.75,
906,50005912,5.2,,,,3.25,,5.75,6.75,
907,50005913,8.2,8.25,8.25,5.25,7.5,4.6,,,
908,50005914,5.2,,,,5.0,,2.5,5.0,
909,50005915,5.0,,,,4.25,,4.5,5.5,
910,50005916,5.2,,,,2.5,,2.5,5.25,
911,50005917,4.2,,,,6.0,,4.5,5.25,
912,50005918,2.8,,,,5.25,,4.75,5.25,
913,50005919,6.8,7.0,6.25,5.0,7.25,5.4,,,
914,50005920,6.8,6.5,4.75,4.75,7.75,5.4,,,
915,50005921,6.4,,,,5.25,3.2,6.5,5.75,8.5
916,50005922,5.4,,,,7.75,4.4,6.75,7.25,8.25
917,50005923,5.6,6.25,5.75,2.25,6.5,5.8,,,
918,50005924,8.4,7.75,7.0,5.25,7.5,7.2,,,
919,50005925,8.6,7.5,6.5,5.5,6.5,7.4,,,
920,50005926,5.8,,,,3.5,,6.25,6.5,
921,50005927,8.8,7.75,8.0,4.5,8.0,4.8,,,
922,50005928,4.6,,,,7.0,,7.0,6.25,
923,50005929,8.4,8.75,7.25,6.75,7.5,5.6,,,
924,50005930,6.2,,,,5.0,,7.25,7.75,
925,50005931,5.4,,,,5.75,,4.0,6.75,
926,50005932,5.8,,,,5.75,4.4,6.5,7.75,8.5
927,50005933,6.4,6.25,5.75,4.25,6.5,4.6,,,
928,50005934,7.4,5.5,6.75,4.5,7.75,4.4,,,
929,50005935,8.0,6.75,5.75,5.0,7.5,6.4,,,
930,50005936,7.6,7.75,8.0,6.5,8.5,6.0,,,
931,50005937,7.6,,,,7.75,,8.5,8.25,
932,50005938,3.4,,,,3.75,,6.25,6.25,
933,50005939,5.4,,,,7.5,4.4,3.5,6.5,7.0
934,50005940,5.8,4.75,6.25,6.75,7.75,3.4,,,
935,50005941,7.8,8.75,5.25,7.0,7.25,3.0,,,
936,50005942,8.2,8.25,7.0,6.5,7.0,4.2,,,
937,50005943,4.8,,,,6.25,4.2,6.0,6.75,7.5
938,50005944,7.6,,,,6.25,3.8,7.75,6.75,8.5
939,50005945,6.6,,,,4.75,,7.75,6.5,
940,50005946,2.4,,,,4.25,,3.75,5.5,
941,50005947,7.0,,,,7.5,6.6,8.25,8.0,9.5
942,50005948,2.2,,,,3.25,,4.25,4.25,
943,50005949,6.2,,,,6.75,5.0,6.75,7.0,9.0
944,50005950,6.6,,,,6.0,,6.5,6.75,
945,50005951,2.8,,,,3.75,,1.75,4.75,
946,50005952,6.2,,,,7.75,5.0,8.25,7.0,8.75
947,50005953,6.6,,,,8.75,5.8,9.25,7.75,8.5
948,50005954,6.2,,,,5.75,,5.5,7.25,
949,50005955,8.4,8.0,8.5,6.5,8.75,7.2,,,
950,50005956,6.0,,,,4.25,,4.5,6.25,
951,50005957,4.6,,,,6.75,5.2,4.75,6.5,7.0
952,50005958,5.6,,,,6.5,4.4,6.0,5.25,6.75
953,50005959,7.4,5.0,7.25,4.25,6.25,4.2,,,
954,50005960,5.8,6.25,6.75,4.5,7.25,3.6,,,
955,50005961,7.4,,,,7.25,3.6,7.5,7.75,9.5
956,50005962,6.2,,,,5.25,3.6,5.0,7.0,7.75
957,50005963,7.4,,,,7.0,4.8,7.25,8.0,9.25
958,50005964,3.6,,,,1.75,,4.5,3.75,
959,50005965,7.6,,,,6.75,3.8,8.0,6.5,8.75
960,50005966,8.0,6.75,7.0,7.0,8.0,5.6,,,
961,50005967,6.0,,,,5.0,4.2,7.5,6.5,8.0
962,50005968,5.8,,,,2.75,,2.5,5.5,
963,50005969,7.0,,,,6.0,,7.5,7.0,
964,50005970,5.6,,,,6.0,3.6,6.25,6.5,9.0
965,50005971,4.0,,,,2.92,,5.0,5.75,
966,50005972,6.0,,,,5.0,,3.75,4.5,
967,50005973,8.2,8.0,6.5,6.75,5.67,6.4,,,
968,50005974,7.8,6.5,6.25,4.5,8.5,5.8,,,
969,50005975,8.0,6.75,6.75,3.75,8.0,5.6,,,
970,50005976,3.8,,,,5.75,,3.5,4.5,
971,50005977,6.6,,,,6.5,4.2,8.5,7.25,9.25
972,50005978,5.0,,,,6.0,2.6,6.25,6.5,9.0
973,50005979,6.4,5.5,7.0,5.5,7.25,4.4,,,
974,50005980,6.6,,,,8.0,6.6,8.75,8.25,9.75
975,50005981,6.0,,,,6.75,2.6,6.0,7.0,8.25
976,50005982,6.4,,,,8.0,3.8,5.0,7.75,8.75
977,50005983,8.0,6.0,7.0,7.0,8.0,5.0,,,
978,50005984,4.4,,,,3.75,,5.25,5.25,
979,50005985,7.8,7.25,7.5,4.5,7.5,7.0,,,
980,50005986,8.0,7.25,6.0,4.25,8.0,6.6,,,
981,50005987,7.8,6.75,6.0,4.0,7.5,6.4,,,
982,50005988,2.2,,,,4.0,,4.0,4.25,
983,50005989,8.4,,,,7.25,5.4,8.5,8.25,8.25
984,50005990,6.8,,,,5.5,,7.0,7.0,
985,50005991,6.4,6.0,4.5,5.0,6.5,5.4,,,
986,50005992,7.4,7.0,7.25,5.25,8.0,5.0,,,
987,50005993,8.2,7.25,5.5,5.75,8.0,4.0,,,
988,50005994,6.4,,,,7.75,5.2,8.0,5.75,8.5
989,50005995,8.0,7.5,7.5,4.75,7.5,6.2,,,
990,50005996,7.2,7.25,4.5,5.0,7.25,4.6,,,
991,50005997,7.4,5.25,6.5,5.25,7.5,6.0,,,
992,50005998,6.6,,,,6.5,3.6,8.0,6.5,8.5
993,50005999,6.2,,,,6.25,3.8,7.25,7.5,8.75
994,50006000,4.8,,,,6.5,3.4,5.25,6.25,7.75
