,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
142,50000143,5.6,6.25,3.5,5.0,4.2,8.0,,,
143,50000144,8.6,6.75,,,7.2,,7.25,7.0,5.75
144,50000145,7.0,7.75,8.0,8.5,4.2,8.25,,,
145,50000146,3.8,5.0,6.5,7.0,2.6,8.5,,,
146,50000147,8.0,6.67,,,8.2,,6.75,7.75,5.0
147,50000148,8.6,8.0,7.75,7.75,5.0,9.25,,,
148,50000149,6.4,7.25,,,7.4,,6.5,6.0,4.25
149,50000150,5.6,7.0,4.0,6.25,4.2,7.5,,,
150,50000151,8.2,8.25,,,7.8,,7.0,7.5,5.5
151,50000152,4.6,7.0,6.75,8.25,2.8,6.5,,,
152,50000153,5.8,5.0,,,4.0,,5.25,3.0,4.25
153,50000154,6.6,5.5,,,3.8,,5.5,5.75,4.25
154,50000155,7.6,8.25,,,6.0,,7.5,5.25,6.25
155,50000156,8.0,7.75,,,5.8,,7.5,7.0,6.25
156,50000157,6.6,7.5,6.75,6.75,4.8,9.25,,,
157,50000158,8.0,5.5,,,8.0,,8.75,6.0,4.25
158,50000159,6.0,7.0,7.25,6.25,4.8,8.0,,,
159,50000160,8.2,7.5,,,7.4,,7.5,6.75,6.75
160,50000161,7.2,7.0,8.75,8.25,3.6,9.0,,,
161,50000162,7.6,7.75,7.75,7.75,6.8,8.75,,,
162,50000163,8.2,7.25,,,4.4,,7.5,8.0,3.5
163,50000164,6.8,8.25,7.0,7.0,5.6,8.75,,,
164,50000165,6.2,6.75,7.25,7.5,3.0,8.75,,,
165,50000166,7.2,6.5,,,4.4,,6.0,4.0,3.25
166,50000167,6.8,8.75,,,6.0,,8.25,8.75,8.75
167,50000168,7.0,6.25,,,4.4,,5.5,6.0,4.5
168,50000169,7.0,6.0,,,3.4,,7.0,5.5,4.75
169,50000170,5.2,5.75,5.0,6.0,2.8,6.75,,,
170,50000171,8.0,7.0,,,5.4,,6.75,7.25,5.75
171,50000172,8.0,8.25,,,8.0,,8.25,7.0,5.75
172,50000173,5.8,6.0,7.0,6.25,2.8,9.5,,,
173,50000174,8.6,7.75,8.75,9.0,5.4,9.0,,,
174,50000175,7.6,7.25,,,6.0,,7.75,9.25,6.5
175,50000176,7.0,7.0,,,6.4,,7.0,7.25,4.5
176,50000177,9.0,9.5,,,8.6,,6.75,8.25,8.5
177,50000178,7.8,8.0,,,5.4,,7.25,7.25,6.25
178,50000179,6.6,7.0,8.0,7.25,3.6,8.75,,,
179,50000180,7.0,6.25,4.75,6.5,4.6,8.5,,,
180,50000181,7.8,6.0,5.0,6.5,3.8,8.0,,,
181,50000182,3.4,4.75,5.0,5.0,2.8,5.75,,,
182,50000183,6.4,6.75,,,3.2,,6.5,4.25,4.75
183,50000184,7.0,6.5,,,5.4,,5.25,6.5,5.5
184,50000185,6.2,7.0,,,5.2,,6.75,5.5,3.25
185,50000186,8.0,6.75,,,7.0,,8.25,3.5,4.75
186,50000187,8.4,6.25,,,4.6,,6.75,8.5,3.0
187,50000188,7.4,7.0,7.75,8.25,4.0,9.25,,,
188,50000189,7.8,5.75,,,5.0,,7.0,7.25,4.75
189,50000190,7.6,5.75,,,5.2,,6.0,6.75,4.25
190,50000191,8.4,7.0,,,4.6,,6.25,4.75,4.5
191,50000192,7.6,6.75,6.0,7.25,3.4,9.0,,,
192,50000193,5.6,5.75,,,2.8,,4.75,5.25,6.0
193,50000194,8.0,6.75,,,6.6,,5.75,6.5,5.0
194,50000195,7.2,7.5,,,6.6,,8.25,7.25,5.75
195,50000196,8.4,7.5,,,7.4,,8.75,8.0,6.5
196,50000197,8.0,8.5,,,6.2,,7.25,7.25,6.25
197,50000198,3.2,7.0,3.0,2.25,4.8,6.25,,,
198,50000199,7.0,6.75,,,5.4,,4.5,6.5,3.0
199,50000200,4.4,6.5,5.0,6.25,3.2,7.75,,,
200,50000201,7.8,7.5,,,6.0,,7.25,6.0,5.5
201,50000202,7.0,8.0,,,4.2,,8.0,7.0,6.0
202,50000203,7.6,8.5,7.5,6.75,4.2,8.5,,,
203,50000204,8.2,7.5,,,5.8,,6.75,8.0,7.25
204,50000205,8.0,8.25,,,6.4,,7.5,8.5,6.0
205,50000206,8.2,6.75,,,4.6,,5.75,4.0,3.25
206,50000207,8.0,7.0,,,3.4,,6.0,6.5,5.0
207,50000208,5.8,6.5,5.0,6.75,2.8,8.0,,,
208,50000209,7.6,6.5,,,4.4,,5.25,7.25,6.5
209,50000210,5.4,5.25,6.5,5.5,3.2,6.75,,,
210,50000211,6.6,7.0,,,6.8,,6.0,5.5,5.75
211,50000212,7.2,7.25,,,3.8,,7.25,5.25,5.5
212,50000213,6.6,6.5,4.75,7.25,3.0,7.75,,,
213,50000214,4.6,5.0,8.75,6.5,3.0,8.5,,,
214,50000215,6.4,5.0,,,4.8,,3.0,2.5,4.0
215,50000216,7.4,6.0,,,6.0,,7.0,5.25,4.5
216,50000217,8.4,8.5,,,6.4,,7.75,6.0,7.0
217,50000218,6.8,7.0,6.75,8.5,6.4,8.5,,,
218,50000219,5.2,7.25,7.0,8.0,3.6,7.75,,,
219,50000220,7.0,7.5,,,4.0,,4.75,7.75,6.75
220,50000221,5.6,6.5,7.5,7.75,3.6,8.0,,,
221,50000222,6.8,7.5,,,6.8,,6.75,6.0,6.0
222,50000223,9.2,7.75,,,5.2,,9.25,8.5,8.25
223,50000224,5.8,6.0,6.75,6.25,3.4,7.25,,,
224,50000225,7.8,5.5,,,4.2,,7.5,7.0,6.0
225,50000226,7.4,6.0,,,5.2,,7.0,6.5,6.0
226,50000227,6.6,6.5,7.25,8.5,6.6,8.5,,,
227,50000228,7.4,7.25,,,5.2,,6.75,6.75,6.0
228,50000229,7.6,6.0,,,4.0,,6.25,6.0,8.25
229,50000230,7.8,7.5,8.0,7.75,6.6,8.25,,,
230,50000231,6.0,6.75,7.5,7.75,5.2,9.25,,,
231,50000232,6.8,7.5,,,3.4,,6.25,5.75,5.5
232,50000233,5.2,5.5,4.25,4.75,3.4,7.0,,,
233,50000234,8.6,7.0,,,6.0,,7.0,6.0,5.25
234,50000235,8.4,5.0,,,4.6,,5.5,5.5,4.75
235,50000236,6.6,6.5,,,3.8,,4.25,4.75,3.25
236,50000237,7.6,5.5,,,5.4,,7.75,7.5,5.25
237,50000238,7.2,5.25,7.25,8.25,3.2,8.5,,,
238,50000239,8.0,7.25,,,4.2,,5.25,5.75,5.0
239,50000240,7.0,6.0,7.5,7.5,4.6,8.0,,,
240,50000241,5.4,5.75,5.25,4.75,4.2,6.0,,,
241,50000242,4.6,6.75,4.75,6.75,3.4,7.5,,,
242,50000243,6.4,7.5,8.5,8.0,2.8,9.0,,,
243,50000244,7.6,6.5,,,7.4,,6.0,6.5,5.25
244,50000245,8.2,8.5,,,6.8,,6.0,8.25,6.75
245,50000246,6.6,5.75,6.0,5.75,3.2,8.25,,,
246,50000247,8.2,7.0,,,4.2,,6.25,5.25,5.25
247,50000248,7.0,5.0,,,4.8,,5.25,5.5,4.25
248,50000249,8.2,6.5,,,4.4,,8.25,7.25,5.5
249,50000250,6.8,6.75,,,5.0,,5.5,6.75,5.0
250,50000251,8.6,8.25,,,5.6,,7.75,9.0,5.0
251,50000252,6.2,6.5,6.5,7.75,3.8,9.25,,,
252,50000253,5.8,6.75,8.25,7.25,4.6,8.5,,,
253,50000254,7.6,6.0,8.0,6.75,6.2,8.75,,,
254,50000255,7.0,7.0,,,5.6,,7.25,7.0,5.25
255,50000256,7.6,6.0,6.0,5.25,3.8,7.75,,,
256,50000257,6.6,6.92,8.25,6.75,5.2,9.0,,,
257,50000258,4.2,5.5,,,4.0,,4.75,3.75,5.0
258,50000259,6.4,5.5,6.5,5.25,3.6,7.0,,,
259,50000260,8.4,9.0,,,7.8,,8.0,7.0,5.0
260,50000261,8.4,5.75,,,4.4,,6.25,6.25,3.0
261,50000262,7.2,6.5,,,4.6,,5.25,6.5,4.5
262,50000263,7.4,8.25,,,5.2,,7.5,6.5,4.25
263,50000264,4.6,4.0,4.75,4.5,3.6,7.25,,,
264,50000265,8.0,7.0,,,4.2,,6.5,5.5,4.25
265,50000266,6.8,4.5,7.5,7.0,3.6,8.0,,,
266,50000267,5.8,5.75,5.25,7.0,3.2,7.0,,,
267,50000268,5.8,6.25,7.25,7.25,5.0,7.5,,,
268,50000269,7.2,6.75,,,6.2,,4.25,5.75,6.0
269,50000270,8.4,7.0,5.25,7.25,4.6,7.5,,,
270,50000271,5.4,7.0,7.25,6.75,3.4,8.75,,,
271,50000272,8.0,7.5,,,9.2,,6.75,8.75,7.0
272,50000273,6.4,6.0,4.5,6.0,4.8,7.75,,,
273,50000274,5.2,6.0,6.75,6.5,4.0,8.0,,,
274,50000275,6.2,6.25,,,4.2,,5.5,3.25,3.5
275,50000276,8.8,6.75,,,5.6,,5.25,8.25,7.75
276,50000277,7.8,6.25,,,5.8,,6.25,6.75,5.75
277,50000278,7.8,8.5,,,5.8,,6.5,6.25,4.75
278,50000279,7.4,7.75,7.75,8.5,5.6,9.5,,,
279,50000280,7.6,9.0,,,6.8,,9.0,6.75,5.5
280,50000281,7.6,8.0,,,5.2,,8.25,8.0,5.5
281,50000282,4.6,6.0,5.75,4.75,5.0,5.0,,,
