,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
150,50014993,5.0,,,,6.75,3.4,6.25,7.0,8.25
151,50014994,6.2,,,,7.25,4.4,6.75,7.25,8.75
152,50014995,6.0,,,,6.75,3.8,6.25,6.75,8.75
153,50014996,6.0,,,,6.25,3.8,6.0,6.5,8.0
154,50014997,2.6,,,,5.25,2.6,4.25,5.5,6.75
155,50014998,6.2,,,,7.0,2.6,5.75,5.25,8.5
156,50014999,7.6,,,,7.75,5.2,9.0,7.75,9.25
157,50015000,7.8,5.75,8.0,6.25,7.83,5.6,,,
158,50015001,4.8,,,,5.83,4.2,4.0,6.75,8.75
159,50015002,6.2,7.0,7.25,6.25,6.75,4.2,,,
160,50015003,4.6,,,,5.0,4.0,6.75,6.0,7.75
161,50015004,5.0,,,,5.75,3.0,4.5,6.5,8.75
162,50015005,2.8,6.5,4.5,4.75,6.75,3.6,,,
163,50015006,7.4,,,,5.75,4.4,8.25,8.0,8.75
164,50015007,6.6,,,,6.5,4.2,8.25,6.75,8.25
165,50015008,5.6,,,,6.0,3.8,5.5,5.0,7.25
166,50015009,5.0,,,,6.0,4.2,5.5,8.0,8.75
167,50015010,7.4,,,,6.5,5.4,9.0,8.0,9.25
168,50015011,6.2,,,,5.5,3.6,8.0,7.5,9.0
169,50015012,6.2,,,,6.75,5.0,8.0,7.0,8.5
170,50015013,6.6,6.75,6.5,4.5,7.5,4.0,,,
171,50015014,4.6,,,,6.5,3.4,4.75,6.0,8.5
172,50015015,4.6,,,,7.75,3.6,8.25,7.25,8.0
173,50015016,2.8,,,,6.25,2.8,3.75,4.5,6.75
174,50015017,3.2,,,,6.0,3.2,7.0,5.25,6.25
175,50015018,6.0,5.5,6.0,5.25,8.0,5.0,,,
176,50015019,5.4,,,,5.5,2.6,6.5,7.25,7.75
177,50015020,7.4,,,,7.25,7.6,8.0,7.0,9.75
178,50015021,6.8,,,,6.5,4.0,7.0,7.75,9.0
179,50015022,6.2,,,,5.5,4.4,8.0,6.75,8.75
180,50015023,5.8,,,,8.75,5.4,8.25,7.5,8.75
181,50015024,5.0,,,,6.5,3.6,6.25,6.75,8.0
182,50015025,7.6,,,,6.75,4.8,7.5,7.5,9.75
183,50015026,7.0,,,,8.75,6.0,7.0,6.0,6.75
184,50015027,4.6,,,,6.5,3.8,5.75,6.75,8.0
185,50015028,6.0,,,,8.0,6.2,5.75,6.75,8.75
186,50015029,7.2,,,,7.5,4.6,3.75,6.0,9.75
187,50015030,6.2,4.75,6.5,3.75,7.25,4.0,,,
188,50015031,7.8,7.75,7.5,5.0,7.75,7.6,,,
189,50015032,6.0,,,,5.25,2.4,5.5,6.0,8.5
190,50015033,5.0,,,,7.75,2.8,8.0,6.75,8.5
191,50015034,4.0,,,,5.75,2.8,5.5,7.25,7.25
192,50015035,6.6,,,,7.5,5.6,7.5,7.5,9.0
193,50015036,6.8,,,,7.5,4.6,6.0,7.25,9.5
194,50015037,6.8,6.0,7.0,5.75,9.0,4.6,,,
195,50015038,6.0,,,,5.5,3.0,6.75,7.0,8.75
196,50015039,7.2,,,,5.33,3.2,5.25,6.25,7.75
197,50015040,6.6,,,,6.0,3.0,7.25,8.0,9.25
198,50015041,7.8,,,,7.5,4.4,8.25,8.5,9.0
199,50015042,5.8,,,,5.0,3.0,6.5,7.0,9.0
200,50015043,6.4,,,,5.0,4.4,7.0,6.25,9.75
201,50015044,7.4,,,,6.5,4.8,8.25,7.5,8.75
202,50015045,4.0,,,,5.5,2.2,4.75,6.5,7.5
203,50015046,3.6,,,,5.25,3.4,4.25,6.0,7.5
204,50015047,7.8,,,,6.5,3.6,8.75,7.5,9.0
205,50015048,4.2,,,,5.0,3.6,6.0,7.0,9.0
206,50015049,3.2,,,,6.5,3.4,5.75,5.25,7.5
207,50015050,5.4,,,,6.0,4.4,7.5,6.25,8.5
208,50015051,8.0,,,,7.0,4.4,7.75,7.5,9.75
